timestamp_dt,timestamp_timestamp,probability,utcOffset,surf_min,surf_max,surf_optimalScore,surf_plus,surf_humanRelation,surf_raw_min,surf_raw_max,power,swells_0_height,swells_0_period,swells_0_impact,swells_0_power,swells_0_direction,swells_0_directionMin,swells_0_optimalScore,swells_1_height,swells_1_period,swells_1_impact,swells_1_power,swells_1_direction,swells_1_directionMin,swells_1_optimalScore,swells_2_height,swells_2_period,swells_2_impact,swells_2_power,swells_2_direction,swells_2_directionMin,swells_2_optimalScore,swells_3_height,swells_3_period,swells_3_impact,swells_3_power,swells_3_direction,swells_3_directionMin,swells_3_optimalScore,swells_4_height,swells_4_period,swells_4_impact,swells_4_power,swells_4_direction,swells_4_directionMin,swells_4_optimalScore,swells_5_height,swells_5_period,swells_5_impact,swells_5_power,swells_5_direction,swells_5_directionMin,swells_5_optimalScore,speed,direction,directionType,gust,optimalScore,temperature,condition,pressure,spot_name,surf_quality,surf_rating
2024-10-28 07:00:00,1730098800,100.0,-7,2,3,2,False,Thigh to waist,2.23097,3.21522,46.88576,1.90289,9,0.5022,28.24412,285.37,282.375,0,1.5748,11,0.1515,8.70031,215.58,207.705,0,1.01706,18,0.1346,7.9346,219.73,213.415,0,0.36089,8,0.0,0.0,187.05,183.54,0,1.08268,7,0.2117,2.00673,253.82,247.685,0,0.0,0,0.0,0.0,0.0,0.0,0,3.08868,198.5184,Cross-shore,4.08208,2,61.664,NIGHT_MIST,1014,La Jolla Shores,2.5,Fair
2024-10-28 10:00:00,1730109600,96.66666666666669,-7,2,3,2,False,Thigh to waist,2.23097,3.24803,45.85091,1.9685,9,0.5149,28.49076,284.99,281.545,0,1.60761,11,0.114,6.67788,213.77,205.9,0,1.01706,18,0.1369,8.00641,220.39,213.935,0,0.0,0,0.0,0.0,0.0,0.0,0,1.21391,7,0.2343,2.67586,254.91,248.495,0,0.0,0,0.0,0.0,0.0,0.0,0,3.19857,210.88237,Cross-shore,3.88769,2,61.088,NIGHT_MIST,1014,La Jolla Shores,2.5,Fair
2024-10-28 13:00:00,1730120400,100.0,-7,2,3,2,True,Thigh to stomach,2.7231,3.70735,44.76589,2.55906,7,0.3966,25.58048,285.55,282.46500000000003,0,1.47638,11,0.0712,3.44229,212.9,204.82,0,1.01706,17,0.0917,5.26594,220.26,213.445,0,0.45932,11,0.1251,0.59179,289.69,287.905,0,1.87008,8,0.2562,9.36079,257.08,251.155,0,0.52493,13,0.0593,0.5246,223.4,221.03,0,2.61449,157.5664,Offshore,2.91577,2,60.98,NIGHT_DRIZZLE,1015,La Jolla Shores,2.5,Fair
2024-10-28 16:00:00,1730131200,100.0,-7,2,3,2,True,Thigh to stomach,2.69029,3.67454,40.18651,2.65748,7,0.4278,26.07232,286.03,282.35,0,1.34514,11,0.0707,2.7254,213.65,204.955,0,0.98425,17,0.094,4.56385,220.38,212.645,0,0.22966,17,0.1098,0.30227,289.13,287.005,0,1.77165,6,0.2281,5.14783,253.85,246.78,0,0.7874,13,0.0697,1.37484,217.38,213.265,0,4.95756,174.03717,Offshore,6.02592,2,61.988,OVERCAST,1016,La Jolla Shores,2.5,Fair
2024-10-28 19:00:00,1730142000,93.44444444444446,-7,3,4,2,False,Waist to chest,2.91995,3.93701,49.23637,2.98556,7,0.4382,35.29332,285.83,281.37,0,1.24672,10,0.0605,1.87935,213.22,204.825,0,1.04987,16,0.0905,4.79046,219.91,211.92,0,0.32808,17,0.1251,0.68221,289.15,287.025,0,1.9357,6,0.2195,5.20189,251.16,243.635,0,0.82021,13,0.0662,1.38914,218.33,212.735,0,7.84377,263.55532,Onshore,10.108,0,62.74396,MIST,1015,La Jolla Shores,3.0,Fair
2024-10-28 22:00:00,1730152800,87.0,-7,2,3,2,False,Thigh to waist,2.16535,3.14961,103.08063,4.46194,7,0.5264,91.49512,276.67,266.51500000000004,0,1.21391,10,0.0542,1.46778,213.84,205.465,0,1.21391,16,0.0951,6.66379,220.38,211.935,0,0.52493,16,0.1599,2.12907,289.5,287.325,0,0.3937,12,0.1083,0.42181,288.8,286.195,0,0.72178,13,0.056,0.90306,217.46,212.935,0,9.86791,284.42118,Onshore,12.82938,0,61.556,CLEAR,1014,La Jolla Shores,2.5,Fair
2024-10-29 01:00:00,1730163600,48.0,-7,3,4,2,False,Waist to chest,3.28084,3.83858,196.317,5.64304,7,0.6212,179.75864,277.41,266.04,0,1.27953,10,0.0555,1.61707,212.81,206.07,0,1.31234,16,0.1257,10.25598,221.27,212.515,0,0.72178,16,0.1976,4.68531,289.44,287.155,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10.21872,282.79109,Onshore,12.24623,0,60.242,MOSTLY_CLOUDY,1014,La Jolla Shores,3.0,Fair
2024-10-29 04:00:00,1730174400,83.33333333333334,-7,3,4,2,True,Waist to shoulder,4.19948,4.6916,331.00932,6.59449,8,0.6586,312.81516,279.01,267.58,0,1.08268,10,0.0265,0.53176,210.39,204.33,0,1.47638,16,0.1252,12.83254,220.98,212.235,0,0.85302,14,0.1898,4.82986,289.61,287.595,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12.53173,280.84912,Onshore,16.91145,0,62.276,NIGHT_LIGHT_RAIN,1014,La Jolla Shores,3.0,Fair
2024-10-29 07:00:00,1730185200,93.33333333333331,-7,5,7,0,False,Head to 2ft overhead,6.29921,6.85696,641.44091,8.2021,9,0.7081,627.48665,280.69,269.605,1,1.01706,9,0.0345,0.54592,210.66,204.41,0,1.44357,16,0.1051,10.15831,220.98,212.205,0,0.7874,14,0.1523,3.25003,289.29,287.045,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13.70831,293.0547,Onshore,17.49461,0,60.926,NIGHT_OVERCAST,1013,La Jolla Shores,3.5,Fair
2024-10-29 10:00:00,1730196000,96.66666666666669,-7,5,7,0,False,Head to 2ft overhead,6.20079,6.79134,632.67954,8.26772,8,0.71,618.39221,283.38,271.785,1,0.88583,9,0.0192,0.24633,209.12,202.95,0,1.44357,16,0.1048,9.7768,220.84,212.03,0,0.0,0,0.0,0.0,0.0,0.0,0,0.88583,13,0.166,4.2642,289.27,286.92,0,0.0,0,0.0,0.0,0.0,0.0,0,11.82643,296.62231,Onshore,13.21815,0,60.44,NIGHT_DRIZZLE,1013,La Jolla Shores,3.5,Fair
2024-10-29 13:00:00,1730206800,93.33333333333331,-7,4,5,2,False,Chest to head,4.26509,5.28215,418.52901,6.92257,8,0.7073,406.44548,281.64,270.305,2,0.7874,9,0.0195,0.17656,209.32,202.59,0,1.44357,15,0.0933,7.99685,220.48,211.615,0,0.0,0,0.0,0.0,0.0,0.0,0,0.85302,13,0.1799,3.91012,289.68,287.42,0,0.0,0,0.0,0.0,0.0,0.0,0,12.81674,299.29818,Onshore,15.55076,0,59.594,NIGHT_CLOUDY,1014,La Jolla Shores,3.5,Fair
2024-10-29 16:00:00,1730217600,96.66666666666669,-7,4,5,2,False,Chest to head,4.16667,5.18373,370.4845,6.43045,8,0.7085,359.14657,281.13,270.71,2,0.75459,9,0.0195,0.15428,209.22,202.415,0,1.44357,15,0.097,8.06131,219.82,211.175,0,0.0,0,0.0,0.0,0.0,0.0,0,0.7874,13,0.1751,3.12234,289.74,287.435,0,0.0,0,0.0,0.0,0.0,0.0,0,9.92342,321.87353,Onshore,12.24623,0,59.72,CLEAR,1015,La Jolla Shores,3.5,Fair
2024-10-29 19:00:00,1730228400,93.33333333333331,-7,3,4,2,False,Waist to chest,3.24803,4.23228,257.259,5.38058,8,0.695,246.65631,280.95,270.58,1,0.68898,8,0.0198,0.1212,208.14,201.28,0,1.37795,15,0.1035,7.7633,218.94,210.615,0,0.0,0,0.0,0.0,0.0,0.0,0,0.72178,13,0.1817,2.71819,289.45,287.255,0,0.0,0,0.0,0.0,0.0,0.0,0,6.53558,308.16958,Onshore,7.38661,0,60.836,MOSTLY_CLOUDY,1016,La Jolla Shores,3.0,Fair
2024-10-29 22:00:00,1730239200,76.66666666666667,-7,2,3,2,True,Thigh to stomach,2.42782,3.44488,183.62025,4.59318,8,0.6715,172.40038,279.36,268.825,0,0.62336,8,0.0201,0.09645,206.92,199.995,0,1.37795,15,0.1147,8.5334,218.76,210.445,0,0.0,0,0.0,0.0,0.0,0.0,0,0.68898,12,0.1937,2.59002,289.43,287.21,0,0.0,0,0.0,0.0,0.0,0.0,0,8.21471,290.2716,Onshore,8.35853,0,60.65596,CLEAR,1015,La Jolla Shores,2.5,Fair
2024-10-30 01:00:00,1730250000,100.0,-7,2,3,2,False,Thigh to waist,2.23097,3.24803,93.94405,3.5105,8,0.5457,80.24363,286.83,281.265,1,0.62336,8,0.019,0.08831,208.76,200.92,0,1.37795,15,0.1093,8.05418,218.19,210.245,0,1.83727,6,0.2079,5.06202,245.73,236.45,0,0.0,0,0.0,0.0,0.0,0.0,0,0.29528,16,0.118,0.49591,288.61,286.485,0,4.4619,280.8555,Onshore,5.24838,2,61.70004,CLEAR,1015,La Jolla Shores,2.5,Fair
2024-10-30 04:00:00,1730260800,100.0,-7,3,4,2,False,Waist to chest,2.85433,3.87139,75.24562,3.08399,8,0.5164,61.98415,286.17,280.985,1,0.45932,8,0.0345,0.08261,217.7,212.305,0,1.37795,14,0.1121,8.13642,217.51,209.81,0,1.73885,6,0.2032,4.29189,245.64,236.335,0,0.32808,8,0.0,0.0,191.33,187.13,0,0.36089,15,0.1338,0.75055,288.69,286.455,0,1.60891,239.33572,Cross-shore,2.527,2,62.312,NIGHT_CLEAR,1017,La Jolla Shores,3.0,Fair
2024-10-28 07:00:00,1730098800,100.0,-7,3,4,2,False,Waist to chest,3.24738,3.92388,50.05352,2.52625,11,0.0,0.0,201.0,193.39,1,1.80446,9,0.5558,27.98693,288.35,284.605,0,1.5748,18,0.1009,14.24422,216.43,211.15,1,1.5748,7,0.3432,7.82237,261.73,254.46500000000003,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2.49465,204.62104,Onshore,2.527,2,62.114,NIGHT_MIST,1014,PB,3.0,Fair
2024-10-28 10:00:00,1730109600,96.66666666666669,-7,2,3,2,True,Thigh to stomach,3.05118,3.64173,49.29846,2.49344,11,0.0,0.0,200.94,193.475,1,1.77165,9,0.5126,23.44408,289.68,286.77500000000003,0,1.5748,18,0.0958,13.46309,217.11,211.505,1,1.80446,7,0.3917,12.39129,263.24,256.02,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3.02987,217.76523,Onshore,3.11015,2,60.872,NIGHT_MIST,1014,PB,2.5,Fair
2024-10-28 13:00:00,1730120400,100.0,-7,3,4,2,False,Waist to chest,3.18241,3.80577,52.73105,2.3622,11,0.0,0.0,200.23,193.02,1,2.23097,7,0.3705,18.06367,291.47,288.665,0,1.50919,17,0.061,7.71309,217.14,211.035,0,2.62467,7,0.3543,24.764,264.09,256.985,0,0.59055,13,0.0402,0.4501,220.0,219.99,0,0.68898,11,0.174,1.74019,291.49,289.665,0,1.69516,152.4558,Cross-shore,2.72138,2,61.106,NIGHT_DRIZZLE,1015,PB,3.0,Fair
2024-10-28 16:00:00,1730131200,100.0,-7,2,3,2,True,Thigh to stomach,2.3622,3.34646,49.38875,2.06693,11,0.0,0.0,196.76,190.165,0,2.46063,7,0.4201,21.82305,293.01,289.595,0,1.50919,17,0.0628,7.15135,215.51,210.125,0,2.55906,7,0.3269,16.84717,262.01,254.055,0,1.1811,13,0.0732,3.1511,218.45,214.34,0,0.26247,17,0.1171,0.41608,291.47,289.69500000000005,0,4.18494,175.60606,Onshore,5.24838,2,61.394,DRIZZLE,1016,PB,2.5,Fair
